adid,bkid
688,1867
880,1869
141,1872
402,2083
911,1874
317,1882
516,1883
1100,1884
797,1887
169,1889
111,1893
1035,5223
286,1895
993,1898
558,1899
566,1900
98,1901
631,1902
226,1904
290,1905
563,1907
84,1917
764,1919
207,168
242,171
271,174
229,175
240,176
207,186
207,187
240,200
261,202
289,215
106,219
791,226
64,238
26,242
29,6048
125,246
385,6049
25,6056
260,258
98,260
267,264
240,270
41,274
44,276
40,277
142,278
20,294
134,295
184,299
271,304
141,308
136,313
557,346
102,352
875,353
155,363
873,368
289,6059
111,374
136,376
291,379
236,409
342,6060
271,416
793,421
259,425
22,430
19,446
290,1395
34,460
32,461
296,466
207,471
160,530
228,583
28,598
160,618
434,764
435,765
424,766
583,767
581,768
361,776
423,814
1035,861
419,962
375,965
1074,1106
622,1017
739,1020
609,1037
1018,1115
545,1122
782,6134
1076,1131
1077,1147
1177,6150
532,1160
316,1185
508,1197
1081,1212
355,1213
1078,1214
508,1216
572,1257
534,1262
316,1275
877,1278
399,1281
425,1308
362,1309
113,1355
557,1402
227,1416
360,1447
183,1500
680,1503
398,1543
187,1544
312,1551
226,1557
301,1562
915,1575
894,1583
127,1591
632,1592
476,1605
152,1606
141,1615
207,1650
44,1657
574,1664
301,1671
773,1675
1067,1677
165,1690
164,1714
479,1726
545,1735
722,1765
717,1793
383,1797
689,1833
702,1876
614,1896
1101,1908
480,1920
570,1925
277,1928
516,1935
93,1937
51,1940
510,1941
413,1942
832,1946
680,1947
165,1949
435,1951
260,1952
242,1955
584,1957
1078,1961
452,1962
31,1963
46,1964
125,1966
174,1970
755,1971
711,1973
355,5733
602,1976
602,1977
569,1978
96,1979
529,1980
491,1983
171,1984
627,1985
555,1987
870,1988
209,1993
516,1998
23,1999
303,2001
768,2002
569,2004
152,2007
159,2008
29,2009
101,2010
354,2011
256,2014
565,2015
29,2017
41,2018
803,2020
447,2021
788,2023
762,2025
762,2026
1005,2028
1026,2029
860,2030
49,2039
670,2032
719,2033
657,2034
1002,2035
116,298
98,6053
268,350
51,444
89,445
266,470
160,495
347,501
342,517
167,519
49,523
134,525
270,547
46,549
145,550
1224,6101
278,552
183,554
207,559
52,565
741,580
314,587
391,6121
127,608
314,609
89,614
229,620
81,635
67,637
161,638
505,644
903,665
374,700
574,712
431,713
309,716
433,726
937,727
313,733
574,734
763,740
897,1317
786,822
902,833
832,845
833,894
616,935
608,944
413,954
419,969
592,978
631,997
398,1052
690,1053
906,1068
690,1073
665,1085
381,1101
682,1112
682,1114
513,1154
1016,1176
566,1182
728,1200
302,1205
533,1226
339,1230
832,1234
357,1270
552,1280
542,1284
532,1286
1078,1300
49,1409
32,1411
793,1456
621,1466
414,1475
178,1483
622,1485
135,1497
160,1515
793,1576
806,1593
415,1642
426,1697
39,1700
154,1752
411,1758
666,1760
775,1788
389,1805
687,1854
690,1880
1079,1885
607,1886
614,1897
498,1909
522,1911
449,1915
375,1933
309,1939
100,1945
117,1965
387,2036
352,2041
1104,2042
167,2044
426,2045
1066,2047
316,2050
1061,2052
312,2053
102,2054
155,2055
439,2057
